key,en,es,pt_BR
PRISMDISPERSE_DESC,Prism created by Jean Neumann that reverses the process of light dispersion.,Prisma creado por Jean Neumann que permite invertir el proceso de la dispersión de la luz.,Prisma criada por Jean Neumann que reverte o processo da dispersão de luz.
POTION_HEALTH_DESC,Restore one-third of the total health,Restaura una tercera parte de la salud total.,Restaura um terço de sua saúde total
CLOCKPOCKET_TITLE,Pocket watch,Reloj de bolsillo,Relógio de bolso
MINERAL_FE_TITLE,Iron ore,Mineral de hierro,Minério de ferro
DEMON_SKULL_TITLE,Demon's Skull,Calavera de Demonio,Caveira do Demônio
RUBY_TITLE,Ruby,Rubí,Rubi
MINERAL_PB_DESC,Lead sulfide ore.,Mineral de sulfuro de plomo.,Minério de sulfeto de chumbo.
POTION_MANA_DESC,Recovers some Mana.,Recupera un poco de Maná.,Recupera um pouco de mana
POTION_POISON_TITLE,Antidote,Antídoto,Antídoto
MINERAL_AU_DESC,A piece of gold mixed with impurities.,Una pieza de oro mezclada con impurezas.,Uma pepita de ouro com impurezas.
ROTTEN_CHIKEN_LEG_DESC,Don't think it's a good idea to eat it...,No creo que sea buena idea comerlo...,Não acho uma boa ideia comer isso…
SN_ELEMT_TITLE,Elemental Tin Sample,Muestra de Estaño elemental,Amostra de Estanho Elemental
RUBY_DESC,A large and very valuable ruby. A Witiko had it in his possession.,Un rubí grande y muy valioso. Un Witiko lo tenía en su posesión.,Um rubi muito precioso. Um Witiko possui um desse.
FIRST_AID_KIT_DESC,"Heals the negative ""Injured"" state of the body.","Sana el estado negativo ""Lesionado"" del cuerpo.","Cura o estado negativo de ""ferido"" do corpo."
CHIKEN_LEG_TITLE,Chicken Leg,Pierna de Pollo,Coxa de frango
TEST_TUBE_TITLE,Test tube,Tubo de ensayo,Tubo de ensaio
DAGUERROTYPE_DESC,"A wooden box found by the girl Aura, but she does not know what its purpose is.

The box includes a glass lens and mechanical internal components and a silver sheet polished to the point that it looks like a mirror.","Una caja de madera encontrada por la niña Aura, pero no sabe cual es su utilidad.

La caja incluye un lente de cristal y componentes internos mecánicos además de una lámina de plata pulida a tal punto que parece un espejo.","Uma caixa de madeira encontrada pela Aura, mas ela não sabe para que serve.

A caixa inclui uma lente de vidro, componentes mecânicos em seu interior e uma chapa de prata polida ao ponto de parecer um espelho."
BEER_TITLE,Beer Jar,Jarra de Cerveza,Jarro de Cerveja
CHIKEN_LEG_DESC,Delicious chicken with which you recover some health.,Rico pollo con el que recuperas algo de salud.,Delicioso frango para recuperar saúde
MINERAL_SN_DESC,Tin oxide ore.,Mineral del óxido de Estaño.,Minério de dióxido de estanho.
CANDYDIFF_TITLE,Sweet candy,Caramelo dulce,Bala de caramelo
POTION_CURSE_TITLE,Anti-Curse Potion,Poción Antimaldiciones,Poção anti-maldição.
MINERAL_HG_DESC,"Mineral belonging to the sulfide group, composed of 85% mercury and 15% sulfur.","Mineral que pertenece al grupo de los sulfuros, compuesto en un 85% de mercurio y en un 15% de azufre.","Mineral pertencente ao grupo dos sulfetos, compostos de 85% mercúrio e 15% enxofre."
MEDALLION_O_DESC,"Medallion belonging to the Alchemist of Oxygen, Joseph Cavendish.","Medallón perteneciente al Alquimista del Oxígeno, Joseph Cavendish.","Medalhão pertencente ao Alquimista de Oxigênio, Joseph Cavendish."
MINERAL_HG_TITLE,Cinnabar,Cinabrio,Cinábrio
FIRST_AID_KIT_TITLE,First Aid Box,Kit de primeros auxilios,Caixa de primeiros socorros
STINKING_FLESH_TITLE,Stinking Flesh,Carne Pestilente,Carne Podre
MINERAL_CU_TITLE,Copper ore,Mineral de cobre,Minério de cobre
MINERAL_FE_DESC,Iron ore containing impurities.,Mineral de hierro que contiene impurezas.,Minério de ferro contendo impurezas.
FRAGANCE_DESC,A perfume that only high-society women wear. It could be sold at a good price.,Un perfume que solo mujeres de alta sociedad usan. Podria venderse a un buen precio.,Um perfume que apenas as mulheres da alta sociedade usam. Pode ser vendido por um bom preço.
POTION_CURSE_DESC,Remove Curses.,Remueve maldiciones.,Remove Maldições
DAGUERROTYPE_TITLE,Daguerreotype,Daguerrotipo,Daguerreótipo
FE_ELEMT_DESC,"Iron is a strong and durable metal, essential in steelmaking and infrastructure construction. ","El hierro es un metal fuerte y duradero, fundamental en la fabricación de acero y en la construcción de infraestructuras. ","Ferro é um metal durável e sólido, essencial na construção de infraestrutura e manufatura de aço."
WATERSWORD_DESC,A sword made of a resistant crystal that emits a very intense blue light.,Una espada hecha de un cristal resistente que emite una luz azul muy intensa.,Uma espada feita de um cristal resistente que emite uma luz azul bem intensa.
TEST_TUBE_DESC,A glass tube used to contain small samples.,Un tubo de vidrio usado para contener muestras pequeñas.,Um tubo de vidro usado para conter pequenas amostras.
MINERAL_AU_TITLE,Gold nugget,Pepita de oro,Pepita de ouro
SILVER_KEY_TITLE,Silver Key,Llave de Plata,Chave de Prata
MINERAL_CU_DESC,Ore containing 70% elemental copper.,Mineral que contiene 70% de cobre elemental.,Minério contendo 70% de cobre elemental.
PB_ELEMT_DESC,"Lead is a dense, soft and malleable metal used in radiation protection and counterweights. ","El plomo es un metal denso, blando y maleable, usado en protección contra radiación y contrapesos. ","Chumbo é um metal denso, macio e maleável usado na proteção de radiação e contrapeso."
HG_ELEMT_DESC,"Mercury is the only metal that is liquid at ambient temperature, known for its high density and its use in thermometers.","El mercurio es el único metal que es líquido a temperatura ambiente, conocido por su alta densidad y su uso en termómetros.","Mercúrio é o único metal que é líquido na temperatura ambiente, conhecido por sua alta densidade e seu uso em termômetros."
CU_ELEMT_TITLE,Elemental Copper Sample,Muestra de Cobre elemental,Amostra de Cobre Elemental
FE_ELEMT_TITLE,Elemental Iron Sample,Muestra de Hierro elemental,Amostra de Ferro Elemental
POTION_MANA_TITLE,Mana Potion,Poción de Maná,Poção de Mana
PAN_DESC,A piece of bread. Recovers some health.,Un pedazo de pan. Recupera un poco de salud.,Um pedaço de pão que recupera um pouco da saúde.
MINERAL_SN_TITLE,Cassiterite,Casiterita,Cassiterita
AG_ELEMT_DESC,"Silver is a bright white metal, prized for its use in jewelry, utensils and as an electrical conductor. ","La plata es un metal blanco y brillante, apreciado por su uso en joyería, utensilios y como conductor eléctrico. ","Prata é um metal branco e cintilante, valorizado pelo seu uso na joalheria, utensílios e como um condutor elétrico."
GIANTBATWING_TITLE,Zotz Wings,Alas de Zotz,Asas de Zotz
MEDALLION_O_TITLE,Oxygen Medallion,Medallón Oxígeno,Medalhão de Oxigênio
CLOCKPOCKET_DESC,"An elegant watch dropped by Joseph, it is marked with the initials H. C.","Un reloj elegante que ha dejado caer Joseph, está marcado con las iniciales H. C.","Um elegante relógio deixado pelo Joseph, está marcado com as iniciais H. C."
MINERAL_AG_TITLE,Silver ore,Mineral de plata,Minério de prata
GIANTBATWING_DESC,Wings of a giant bat that is used in various alchemical potions.,Alas de murciélago gigante que es utilizado en varias pociones alquímicas.,Asas de um morcego gigante que é usado em várias poções alquímicas.
SILVER_KEY_DESC,An old silver key.,Una vieja llave hecha de plata.,Uma chave antiga de prata.
CARPATITIA_TITLE,Carpatithia,Carpatitia,Carpatithia
POTION_HEALTH_TITLE,Healing Potion,Poción Curativa,Poção de cura
MAGIC_MEDALLION_DESC,Allows to open sealed doors that protect the city of Amerithia from small demons.,Permite abrir puertas selladas que protegen a la ciudad de Amerithia de demonios pequeños.,Permite abrir portas seladas que protegem a cidade de Amerithia de pequenos demônios
FIREPROOF_CONTAINER_TITLE,Xóchitl's letter,Carta de Xóchitl,Carta de Xóchitl
AU_ELEMT_DESC,"Gold is a bright yellow metal, highly valued for its use in jewelry, coins and as a store of value. ","El oro es un metal amarillo brillante, muy valorado por su uso en joyería, monedas y como reserva de valor. ","Ouro é um metal amarelo e cintilante, de grande valor pelo seu uso na joalheria, moedas e como reserva de valor."
HG_ELEMT_TITLE,Elemental Mercury Sample,Muestra de Mercurio elemental,Amostra de Mercúrio Elemental
FRAGANCE_TITLE,Women's Perfume,Perfume Femenino,Perfume Feminino
MAGIC_MEDALLION_TITLE,Magic Medallion,Medallón Mágico,Medalhão Mágico
PB_ELEMT_TITLE,Elemental Lead Sample,Muestra de Plomo elemental,Amostra de Chumbo Elemental
CARPATITIA_DESC,A rare quartz-like mineral found near a castle in Transylvania. Allows you to return to the save statue in the city of Amerithia.,Un extraño mineral similar al cuarzo encontrado en la cercanías de un castillo en Transilvania. Permite regresar a la estatua de guardado en la ciudad de Amerithia.,Um raro mineral encontrado próximo de um castelo na Transilvânia. Te permite retornar à estátua do guarda na cidade de Amerithia.
AG_ELEMT_TITLE,Elemental Silver Sample,Muestra de Plata elemental,Amostra de Prata Elemental
FIREPROOF_CONTAINER_DESC,"Letter found inside a fireproof container that reads as follows:

In these two years as an infiltrator in the sect of the Ahuizotes I finally made progress gathering information.

Their leader proclaims that he will guide them to the ""miracle"" of resurrection thanks to the [Opus Magnum].

Only the Adeptis are aware of how they will create the Opus Magnum.

However, it's known that it consists of four stages for its transmutation:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

The first stage, Rubedo, is said to have been achieved thanks to a certain incident in the Transylvania region.

The second stage, Albedo, was completed with the invasion of demons in Grijayla.

In this city the Ahuizotes discovered a secret laboratory of a researcher specialized in optics named Jean Neumann.

I don't know what the 3rd and 4th phases are about.

My last discovery is about the place where Johannes Trithemius is hiding.

There is a huge door in the place where the Ahuizotes gather, an ancient abbey located to the north, passing through Eztilia. 

This door only opens when all the Adeptis gather, placing their medallions in a specific order.

I managed to sneak in and see the order in which they did it: %s.

I hope this accomplishes our mission to eradicate the Ahuizotes once and for all.

-- Xóchitl Nahoa.","Carta encontrada dentro de un contenedor ignífugo que dice lo siguiente:

En estos dos años como infiltrada en la secta de los Ahuizotes finalmente hice avances reuniendo información.

Su líder proclama que los guiará hacia el ""milagro"" de la resurrección gracias al [Opus Magnum].

Solo los Adeptis están al tanto sobre cómo crearán el Opus Magnum.

Sin embargo, se sabe que consta de cuatro etapas para su transmutación:

1-Rubedo, 2-Albedo, 3-Citrinitas, 4-Nigredo.

Se dice que la primera etapa, Rubedo, fue alcanzada gracias a cierto incidente ocurrido en la región de Transilvania.

La segunda etapa, Albedo, fue completada con la invasión de demonios en Grijayla.

En esta ciudad los Ahuizotes descubrieron un laboratorio secreto de un investigador especializado en óptica llamado Jean Neumann.

Desconozco de qué trata la 3ra y 4ta fase.

Mi último descubrimiento es sobre el lugar donde se oculta Johannes Trithemius.

Hay una puerta enorme en el lugar donde los Ahuizotes se reunen, una abadía antigua ubicada al norte, pasando por Eztilia. 

Esta puerta solo se abre cuando todos los Adeptis se reunen, colocando sus medallones en un orden específico.

Logré escabullirme y ver el orden en el que lo hacían: %s

Espero que esto logre con nuestra misión de erradicar a los Ahuizotes de una vez por todas.

-- Xóchitl Nahoa.","Carta encontrada dentro de um contêiner a prova de fogo, que diz:

Nesses dois anos como um infiltrado na seita dos Ahuizotes, eu finalmente fiz progresso em coletar informação.

O líder deles proclama que os guiará ao “milagre” da ressurreição graças ao [Opus Magnum].

Apenas os Adeptis são cientes de como eles criarão o Opus Magnum.

Porém, é sabido que consiste nos quatro estágios de sua transmutação:

1-Rubedo, 2-Albedo, 3- Citrinitas, 4-Nigredo.

O primeiro estágio, Rubedo, é dito que foi alcançado graças a um certo evento na região da Transilvânia.

O segundo estágio, Albedo, foi completado com a invasão de demônios em Grijayla.

Nessa cidade, os Ahuizotes descobriram um laboratório secreto de um pesquisador especializado em ótica chamado Jean Neumann.

Eu não sei sobre o que se tratam das fases 3 e 4.

Minha última descoberta é sobre o local onde Johannes Trithemius está se escondendo.

Há uma porta enorme no local onde os Ahuizotes se reúnem, uma antiga abadia localizada ao norte, passando por Eztilia. 

Essa porta apenas abre quando todos os Adeptis se reúnem, colocando seus medalhões numa ordem específica.

Eu consegui me infiltrar e ver a ordem que eles colocaram: %s.

Eu espero que cumpra a nossa missão de erradicar os Ahuizotes de uma vez por todas.

-- Xóchitl Nahoa."
