key,en,es,pt_BR
DLG10_1726518782,"But that doesn't make it invincible, we just need to make it reach its [color=yellow]fatigue limit[/color]!","Pero eso no lo hace invencible, ¡Solo necesitamos hacer que llegue a su [color=yellow]límite de fátiga[/color]!","Mas isso não faz invencível, nós apenas precisamos alcançar o [color=yellow]limite de fadiga[/color]!"
DLG8_1705075346,"Well, let's see what we can transmute...","Bien, veamos que podemos transmutar...","Bem, vamos ver o que nós podemos transmutar…"
DLG62_1671137942,That's not right.,Eso no está bien.,Isso não está certo.
DLG24_1712163955,Huh?,¿Eh?,Huh?
DLG20_1723667871,We could make a pact. You'd have a better shot at your goals.,Podríamos hacer un pacto. Tendrías más posibilidades de cumplir tus objetivos.,Poderíamos fazer um pacto. Você teria mais chances de atingir seus objetivos.
DLG69_1718897790,"Thank you for helping me find my kittens, Nabig. Still need to find [cats_need_rescue] though.","Gracias por ayudarme a encontrar a mis gatitos, señorita Nabig. Aunque todavía falta encontrar [cats_need_rescue].","Obrigado por me ajudar a encontrar meus gatos, Nabig. Ainda precisa encontrar [cats_need_rescue]."
DLG51_1671137942,Well... I hid from my instructors...,Bueno... vine a escondidas de mis instructores...,Bem... Eu vim escondido dos meus instrutores.
DLG1_1721926706,"Keep in mind — underwater, you've got limited air. Don't push it.","Al entrar bajo el agua, hay que tener en cuenta que una persona tiene un límite de resistencia pulmonar.","Quando entrar debaixo d'água, lembre-se que uma pessoa tem um limite de resistência pulmonar."
DLG20_1724085796,I was the only survivor of a group of children who went through cruel experiments done by the Ahuizotes.,Fui la única sobreviviente de un grupo de niños que pasaron por crueles experimentos hechos por los Ahuizotes.,Eu fui a única sobrevivente de um grupo de crianças que foram submetidas a cruéis experimentos feitos pelos Ahuizotes.
DLG2_1713547682,Hold it right there... What the hell do you think you're doing?,Alto ahí... ¿Qué demonios crees que haces?,Espere aí... O que diabos você pensa que está fazendo?
DLG7_1690912410,My name is Joseph Cavendish. I am the [color=yellow]Adeptis Sexto.[/color].,Mi nombre es Joseph Cavendish. Soy el [color=yellow]Adeptis Sexto.[/color],Meu nome é Joseph Cavendish. Eu sou o [color=yellow]Sexto Adeptis.[/color].
DLG19_1713547682,"Ha, ha, ha... I have other more important matters to attend to.","Ja, ja, ja... Tengo otros asuntos más importantes que atender.","Ha, ha, ha... Eu tenho outros assuntos mais importantes para tratar."
DLG26_1724085796,People exaggerate things.,La gente exagera las cosas.,As pessoas exageram nas coisas.
DLG8_1671137942,I can't...,No puedo...,Eu não consigo…
DLG8_1723066161,"Yes, I agree. That Neumann took the time to create this barrier... something important must be behind it...","Sí, estoy de acuerdo. Que Neumann se haya tomado el tiempo para crear esta barrera... algo importante debe haber detrás de ella...","Sim, concordo. Aquele Neumann tinha o tempo de criar essa barreira... algo importante deve estar atrás dela…"
DLG20_1686779687,"I'm just a scientist, it's not like I have money to spare...","Solo soy una científica, no es como si el dinero me sobrara...","Eu sou apenas uma cientista, não é como se eu tivesse dinheiro de sobra…"
DLG13_1671137942,"Come on, Nabig. Be strong!","Vamos Nabig, sé fuerte.","Vamos Nabig, seja forte."
DLG1_1674506987,This looks like Calcite ore... could be useful.,Esto parece ser mineral de [color=yellow]Calcita[/color]...,Isso parece ser um minério de [color=yellow]Calcita[/color]…
DLG8_1704732290,"A week?! Man, I've wasted enough time... That bastard john already bounced.",¿¡Una semana!? He perdido bastante tiempo... El maldito de john ha escapado...,Uma semana?! Perdi tempo o suficiente... Aquele maldito do john escapou…
DLG2_1726500626,john!,¡john!,john!
DLG3_1712764975,I prefer to avoid fatigue... But Lord Trithemius has ordered me to do so.,Prefiero evitar la fatiga... Pero el señor Trithemius me lo ha ordenado.,Eu prefiro evitar a fadiga... Mas Vossa Eminência Trithemius me ordenou fazer isso.
DLG13_1704732290,Nabig... at least get some more rest.,Nabig... por lo menos descansa un poco más.,Nabig... pelo menos descanse um pouco mais.
DLG22_1712768333,What the hell are they even talking about?,¿De qué rayos están hablando?,Do que diabos eles estão falando?
DLG69_1705090606,Thank you Nabig.,Gracias Nabig.,Obrigado Nabig.
DLG8_1726518782,Nah... he's too strong. Titanium Alchemist. My iron ain't breaking through that.,No... él es demasiado fuerte... Es un [color=yellow]Alquimista de Titanio.[/color] Mi hierro no puede atravesar sus defensas.,Não... ele é muito forte... Ele é um [color=yellow]Alquimista de Titânio.[/color] Meu ferro não consegue atravessar a defesa dele.
DLG2_1723066397,Place is a mess. Ahuizotes definitely hit this spot.,"Veo un desorden aquí, seguramente los Ahuizotes arrasaron con todo...","Está uma bagunça aqui, certamente os Ahuizotes destruíram tudo…"
DLG8_1712764975,He is a person full of kindness.,Es una persona llena de bondad.,Ele é uma pessoa de pura bondade.
DLG6_1719417607,So we can confirm that the Ahuizotes are not financially stable.,Así que podemos confirmar que los Ahuizotes no están estables económicamente.,Então podemos confirmar que os Ahuizotes não estão estáveis financeiramente.
DLG29_1706222258,Don't waste my time.,No pierdas mi tiempo.,Não perca meu tempo.
DLG19_1723066397,Is it really? That's unbelievable...,¿En serio? Eso es increíble...,É sério? Isso é inacreditável...
DLG1_1718664090,This is a medallion that has a series of notches on the back...,Este es un medallón que tiene una serie de muescas en la parte de atrás...,Esse medalhão possui uma série de entalhes na parte de trás…
DLG40_1705090606,Birstall? I haven't heard that name in years.,¿Birstall? Hace años que no escucho ese nombre.,Birstall? Não ouço esse nome há anos.
DLG16_1718748417,I don't know. I think I was asleep...,No... no lo sé... Creo que estaba dormido...,Eu não sei. Eu acho que estava dormindo…
DLG6_1705090606,"So, have you found anything interesting in the_outpost?","¿Y bien, has encontrado algo interesante en the_outpost?","Então, encontrou algo interessante em the_outpost?"
DLG15_1722530103,"As it turns out, he was close to achieving that primal light.",Pues resulta que él estaba cerca de conseguir esa luz primigenia.,"Pois bem, ele estava perto de obter a tal luz primordial."
DLG15_1712163955,"Doesn't matter. Beat your brother, I can handle you too.","No importa, he derrotado a tu hermano y puedo enfrentarme a ti también.","Não importa, eu derrotei seu irmão e posso enfrentar você também."
DLG23_1705090606,So don't waste time and go earn your paycheck.,Así que no pierdas tiempo y ve a ganarte el sueldo.,Então não perca tempo e vá ganhar o seu salário.
DLG60_1705090606,"But if that fog continues to cover the city, it could hinder our efforts. ",Pero si aquella niebla sigue cubriendo la ciudad podría entorpecer nuestros esfuerzos. ,"Mas se essa neblina continuar cobrindo a cidade, pode impedir nossos esforços."
DLG28_1690912410,I'll give you the reality check you need.,Te daré el golpe de realidad que necesitas.,Te darei um choque de realidade que você precisa.
DLG9_1723066397,"Is that a drawing? It's very well illustrated, it even looks real...","¿Eso es un dibujo? Está muy bien ilustrado, hasta parece real...","É um desenho? Está muito bem ilustrado, parece até real…"
DLG24_1712768333,"As brothers, Joseph and I have a greater power. A gift that was bestowed upon us with the blessing of Athos.","Como hermanos, Joseph y yo tenemos un poder mayor. Un don que nos fue atribuido con la bendición de Athos.","Como irmãos, Joseph e eu temos um grande poder. Um presente que nos foi concedido com a bênção de Athos."
DLG9_1726518782,Can't give up yet. Titanium's tough but it's got limits.,¡Todavía no se rinda! Puede ser cierto que el titanio tiene mayor dureza que el hierro.,Não desista ainda! Pode ser verdade que titânio é muito mais sólido do que o ferro.
DLG12_1723066397,"No Nabig, that's a photo.","No Nabig, eso es una foto.","Não Nabig, isto é uma foto."
DLG2_1675875857,"I must admit, you're a tough nut to crack.","Debo admitirlo, eres un hueso duro de roer.","Eu tenho que admitir, você é osso duro de roer."
DLG65_1671137942,"I know, but I had to come and help somehow.","Lo sé, pero tenía que venir a ayudar de alguna manera.","Eu sei, mas eu tenho que ir e ajudar de alguma forma."
DLG23_1705010680,"Yes, but different materials are required depending on the Circuit to be improved.","Así es, pero se requieren diferentes materiales dependiendo del Circuito a mejorar.","Sim, mas diferentes materiais são necessários dependendo do Circuito que será melhorado."
DLG11_1718311861,By the grace of Athos we have managed to hunt her down and capture her.,Por la gracia de Athos hemos conseguido darle caza y capturarla.,Pela Graça de Athos nós conseguimos persegui-la e capturá-la.
DLG33_1705090606,Do you have anything else to talk to me about?,¿Tienes algo más de lo que hablar conmigo?,Você tem algo a mais para falar comigo?
DLG10_1677779048,You got real potential. Don't waste it.,Tienes un gran potencial. No lo desperdicies.,Você tem muito potencial. Não desperdice.
DLG2_1709066034,"Haven't you forgotten something, Nabig?","¿No se te ha olvidado algo, Nabig?","Você não esqueceu de algo, Nabig?"
DLG28_1705004200,"Yes, of course.","Sí, claro.","Sim, claro."
DLG22_1706222258,"But of all the innocent people around us, I can incinerate them before you can transmute your whip.","Sino de todas las inocentes personas que nos rodean, puedo incinerarlos antes de que puedas transmutar tu látigo.","Mas sim todas as pessoas inocentes ao nosso redor, eu posso incinerá-los antes que você possa transmutar seu chicote."
DLG14_1726500626,A weapon capable of destroying entire countries. It posed such a threat that even trying to destroy it was too dangerous.,Un arma capaz de destruir países enteros. Representaba una amenaza que incluso el intentar destruirlo era demasiado peligroso.,Uma arma capaz de destruir países inteiros. A ameaça é tão grande que até destruí-la é muito arriscado.
DLG3_1726500626,"After years of research, I have finally found the Order's best kept secret.","Tras años de investigación, finalmente he encontrado el secreto mejor guardado de La Orden.","Após anos de investigação, finalmente encontrei o segredo mais bem guardado d’A Ordem."
DLG45_1705090606,"But if you investigate all the documents found, there is no mention of him, only [color=yellow]Hermes Trimegistus[/color].","Pero si investigas todos los documentos encontrados, no se hace mención a él. Sino a [color=yellow]Hermes Trimegisto.[/color]","Mas se você investigar todos os documentos encontrados, não há nenhuma menção dele, apenas [color=yellow]Hermes Trimegistus[/color]."
DLG29_1718897790,Ah... I understand...,Ah... entiendo...,Ah... Entendo…
DLG3_1718387263,"Whatever they're planning, I'm not letting them pull it off.","Sea lo que sea que tengan en mente, debo evitar que logren crearlo.","O que quer que eles tenham em mente, eu devo impedir que criem isso."
DLG16_1724085796,Because I want to kill someone.,Porque quiero matar a alguien.,Porque eu quero matar alguém.
DLG25_1722549314,Maybe yes or maybe no...,Puede ser que sí o tal vez no...,"Talvez sim, talvez não…"
DLG44_1705004200,Okay... sorry.,Está bien... perdón.,Tudo bem... me desculpe.
DLG19_1690912410,I see... you are Henry Cavendish's son.,Ya veo... eres el hijo de Henry Cavendish.,Eu entendo... você é filho de Henry Cavendish.
DLG7_1723066136,Near the machine you have a [color=yellow]Elemental Iron Sample[/color] Try to use the machine and see what is the spectrum of your element.,Cerca de la maquina tienes una [color=yellow]Muestra de Hierro elemental[/color] Prueba a usar la máquina y ver cual es el espectro de tu elemento.,Próximo da máquina você tem uma [color=yellow]Amostra de Ferro Elemental[/color] Tente usar a máquina e ver o espectro de seu elemento.
DLG1_1677711345,He's propelling himself into the air with a gun?,¿Él se está propulsando en el aire con una pistola?,Ele está se impulsionando no ar com uma arma?
DLG17_1690912429,"That's right, I have the power to generate so much heat to melt iron.",Así es. Tengo el poder de generar tanto calor para fundir el hierro.,"Exato, eu tenho o poder de gerar tanto calor que posso derreter o ferro."
DLG16_1718312954,"When he orders it, we will meet again to prove him that I am better...","Cuando él lo ordene, nos volveremos a encontrar para demostrarte que soy mejor...","Quando ele ordena, nós encontraremos novamente para prová-lo que eu sou melhor…"
DLG58_1718897790,"It might be worth some money. Fine, I'll take it.","Podría valer algo de dinero. Bien, lo acepto.","Isto pode valer algum dinheiro. Tudo bem, eu aceito."
DLG2_1706224082,What are you up to?,¿Qué es lo que tramas?,O que você está tramando?
DLG68_1705090606,Well...,Bien...,Bem…
DLG61_1705090606,"That's what I'll take care of, I'll look for a way to go deeper into the city and find out who's responsible.","De eso me encargaré yo, buscaré la manera de adentrame más a fondo en la ciudad y acabar con el responsable.","Disto eu me encarregarei, procurarei uma forma de me infiltrar a fundo na cidade e achar quem é o responsável."
DLG6_1722549314,It refers to the Alchemists who were the founders of The Order.,Se refiere a los Alquimistas que fueron los fundadores de La Orden.,Se refere aos Alquimistas que foram os fundadores d’A Ordem.
DLG3_1723066397,Papers and books all over the floor...,Hay papeles y libros tirados por doquier...,Há papeis e livros espalhados por todo o canto…
DLGIMUSTUSECARBON,I should use the Carbon alloy...,Debería usar la aleación de Carbono...,Eu deveria usar a liga de Carbono…
DLG25_1718748417,"Huh? Yes, that's my name, how do you know it?","¿Eh? Sí, ese es mi nombre, ¿cómo lo sabe?","Huh? Sim, esse é meu nome, como você sabe?"
DLG15_1705004200,And of course I will give you a reward.,Y por supuesto que le daré una recompensa.,"E é claro, te darei uma recompensa."
DLG8_1690912429,It will be a real problem if he manages to improve his skills...,Será un verdadero problema si consigue mejorar sus habilidades...,Isso será um risco real se ele melhorar suas habilidades…
DLG3_1723667777,"Whoever you are, show yourself right now!","Quienquiera que seas, ¡Muéstrate ahora mismo!","Seja lá quem for, apareça agora!"
DLG18_1723066397,"In short, it is a device that allows capturing images of our reality and capturing them on copper plates.",En pocas palabras es un dispositivo que permite capturar imágenes de nuestra realidad y plasmarlas en placas de cobre.,"Em resumo, é um dispositivo que nos permite capturar imagens da nossa realidade em placas de cobre."
DLG74_1718897790,"So if you don't mind, I have nothing else to talk to you about.","Así que si no te importa, no tengo nada más de lo que hablar contigo.","Então se não se importa, não tenho mais nada a dizer a você."
DLG20_1690912410,An Aristocrat who was just another pawn of john.,Un Aristócrata que solo era un peón más de john.,Um Aristocrata que não se passava de outra marionete de john.
ROTTENCHICKENWALLOBTAINED,Why is there a chicken leg on the wall...,Qué demonios hace una pierna de pollo en la pared...,Mas que diabos uma coxa de frango está fazendo numa parede…
DLG6_1723066161,This prevents the barrier from opening unless certain conditions specified by the barrier's creator are met.,"Esto evita que la barrera se abra, a menos que se cumplan con algunas condiciones especificadas por quien la creó.",Isso previne a barreira de se abrir a menos que certas condições especificadas pelo criador da barreira são atendidas.
DLG2_1712764975,So you finally decided to confront me.,Así que al fin te decidiste a enfrentarme.,Então você finalmente decidiu me confrontar.
DLG53_1718897790,"Now I can rest easy knowing that Niña, Pinta and Santamaría are safe.","Ahora podré estar tranquila sabiendo que Niña, Pinta y Santamaría están a salvo.","Agora eu posso ficar tranquila sabendo que Niña, Pinta e Santamaría estão a salvo."
DLG21_1718897790,What?,¿Qué?,O que?
DLG4_1709066034,If you hurry you will be able to catch the train before it leaves the station.,Si te das prisa podrás alcanzar el tren antes de que salga de la estación.,Se você se apressar você conseguirá pegar o trem antes de partir.
DLG11_1726500626,"Ignorant fool, this is the proof that proves it.","Ignorante, esta es la prueba que lo demuestra.","Ignorante, esta é a prova."
DLG40_1671137942,"Nabig, thank goodness... How are you feeling?",Nabig... menos mal... ¿Cómo se siente?,Nabig...ainda bem…Como está se sentindo?
DLG5_1671134583,I came looking for john. Tell me where he is. Now.,"He venido en busca del desgraciado de john, dime dónde está ahora.","Eu estou à procura do john, aquele desgraçado. Me diga onde ele está agora."
DLG61_1671137942,(What a strange kid.),(Qué chico tan raro.),(Que jovem estranho.)
DLG1_1679006366,"Demo finished, thank you very much for playing!",Demo terminada. ¡Muchas gracias por jugar!,Demo finalizada. Muito obrigado por jogar!
DLG16_1671137942,I'm trying hard to carry out their orders...,Me estoy esforzando para cumplir sus ordenes...,Estou tentando seriamente em cumprir as ordens…
DLG25_1671136581,I'm here to finish you.,Estoy aquí para acabar contigo.,Estou aqui para acabar com você.
DLG12_1686779687,I will stay here a little longer before returning to the lab.,Seguiré aquí un poco más antes de regresar al laboratorio.,Ficarei por aqui um pouco mais antes de voltar ao laboratório.
DLG59_1718897790,"That's it, I have other things to do.","Eso es todo, tengo otras cosas que hacer.","É isso, eu tenho outras coisas para fazer."
DLG59_1705004200,"Once again, thank you very much Nabig.","Una vez más, muchas gracias señorita Nabig.","Mais uma vez, muito obrigado Nabig."
DLG20_1712163955,Having come this far has completely exhausted me...,El haber llegado hasta aquí me ha agotado completamente...,Chegar até aqui me deixou completamente exausto…
DLG11_1705004200,"Stop, I did not say that I accept to help you.","Alto, yo no he dicho que acepto ayudarlo.","Pare, Eu não disse que eu aceito te ajudar."
DLG21_1722549314,Understood.,Entendido.,Entendido.
DLG9_1726523748,That's enough! You've exhausted my patience!,¡Suficiente! ¡Han terminado con mi paciencia!,Já chega! Você esgotou a minha paciência!
DLG8_1706224082,(I don't think he is an Adeptis... he must be some charlatan).,(No creo que sea un Adeptis... debe ser algún charlatán).,(Eu não acho que ele é um Adeptis... Deve ser um charlatão).
DLG52_1705090606,The citizens of Birstall have prevented the entry of our Alchemists because of our differences in ideologies.,Los ciudadanos de Birstall han impedido la entrada de nuestros Alquimistas por nuestras diferencias de ideologías.,Os cidadãos de Birstall proibiram a entrada de nossos Alquimistas por conta de nossas divergências ideológicas.
DLG10_1726500626,Don't come at me with that nonsense. I don't care what you tell your followers.,"No me vengas con patrañas, no me interesa saber las estúpideces que les inventas a tus seguidores.","Não me venha com essa besteira, não me interesso pelas bobagens que você criou aos seus seguidores."
DLG6_1671134583,You little brat... how dare you speak that way about our Lord?,Mocoso... cómo te atreves a hablar de esa manera de nuestro Señor.,Seu pirralho... como ousa falar dessa maneira sobre o nosso Senhor?
DLG11_1690912429,No... this is just the beginning.,No... esto apenas comienza.,Não... este é apenas o começo.
DLG13_1723066397,A photo? ... ... ... what?,¿Una foto? ... ... ... ¿qué?,Uma foto? ... ... ... o que?
DLG14_1671133094,"No promises. I'll go ahead, you wait for reinforcements to arrive.","No prometo nada. Seguiré adelante, tú espera a que lleguen los refuerzos.","Sem promessas. Eu vou na frente, você espera os reforços chegarem."
DLG19_1718897790,What is it about?,¿De qué trata?,Do que se trata?
DLG75_1718897790,I understand... a great Alchemist like you must be very busy...,Entiendo... un gran Alquimista como usted debe estar muy ocupado...,Entendo... um grande Alquimista como você deve estar muito ocupado…
DLG23_1712768333,We still have a chance against you.,Todavía tenemos una oportunidad contra ti.,Nós ainda temos uma chance contra você.
DLG18_1705071479,Remember to stop by the lab from time to time if you want to transmute something.,Recuerda pasar de vez en cuando al laboratorio si quieres transmutar algo.,Lembre-se de passar no laboratório de vez em quando se você quiser transmutar algo.
ALESSALETTER1,"Nabig, congratulations on your promotion to Official Alchemist.","Nabig, felicitaciones por tu ascenso a Alquimista Oficial.","Nabig, parabéns pela sua promoção para Alquimista Oficial."
DLG15_1719417607,I don't know what relationship there is between what happened that time and whatever the Ahuizotes are doing now.,"No lo creo, no sé qué relación haya entre lo que pasó aquella vez y lo que sea que estén haciendo ahora los Ahuizotes.",Eu não sei que relação existe entre o que aconteceu naquela época com o que os Ahuizotes estão fazendo agora.
DLG2_1723844799,Nabig!,¡Nabig!,Nabig!
ALESSALETTER2,"This is a big step for your career as an Alchemist, although you don't care about that, I guess...","Este es un gran paso para tu carrera como Alquimista, aunque eso no te interesa parece...","Esse é um grande passo para a sua carreira como uma Alquimista, apesar de que você não se importa com isso, eu presumo…"
DLG30_1723066397,Is that him? The boy I was with that time?,¿¡Acaso es él!? El niño con quien estuve aquella vez...,Não é ele? O garoto com que eu estava naquela vez?
ALESSALETTER3,"Anyway, tonight you will be assigned to an emergency mission...","En fin, esta noche serás asignada a una misión de emergencia...","Em todo o caso, nessa noite você será designada para uma missão de emergência…"
ALESSALETTER4,A demon invasion has been reported in the city of the_outpost.,Se ha reportado una invasión de demonios en la ciudad de the_outpost.,Uma invasão de demônios foi comunicada na cidade de the_outpost.
DLG7_1671133094,I don't know! It happened suddenly...,¡No lo sé! Sucedió de repente...,Eu não sei! Aconteceu tão repentinamente…
DLG9_1719417607,Unfortunately we lost a promising Alchemist who was undercover.,Lamentablemente perdimos a una prometedora Alquimista quien estaba como infiltrada.,Infelizmente nós perdemos uma promissora Alquimista que estava infiltrada.
ALESSALETTER5,"According to the information I have received, there are Ahuizotes involved. Maybe you'll find something you're looking for...","Según la información que he recibido, hay Ahuizotes involucrados. Quizás encuentres algo que buscas...","De acordo com a informação que recebi, há o envolvimento dos Ahuizotes. Talvez você encontrará algo que esteja procurando…"
DLG3_1706224082,Huh? I just have in mind to eat my fill.,¿Eh? Solo tengo en mente comer hasta reventar.,O que? Eu só tenho em mente comer até me satisfazer.
ALESSALETTER6,"You'll thank me later, and by thanking me, I mean you'll owe me a favor.","Ya me lo agradecerás luego, y con agradecerme quiero decir que me deberás un favor.","Você me agradecerá depois, digo que você me deve um favor."
ALESSALETTER7,"Alessa Bollstad
---
Director of The Order.","Alessa Bollstad
---
Directora de La Orden.","Alessa Bollstad
---
Diretora d’A Ordem."
DLG12_1719417607,It strikes me that what happened in Transylvania has helped them with their plans...,Me llama la atención que lo que pasó en Transilvania les haya ayudado con sus planes...,O que me chama a atenção é sobre o que aconteceu na Transilvânia que ajudou nos planos deles...
DLG10_1725643091,What is the merchant's route?,¿Cual es la ruta del comerciante?,Qual é a rota do comerciante?
DLG4_1713547682,"If you have made it this far, it is because you have defeated all the Ahuizotes who served me.","Si has logrado llegar hasta aquí, es porque has derrotado a todos los Ahuizotes que me servían.","Se você chegou até aqui, é porque derrotou todos os Ahuizotes que me serviam."
